"Block","Page","id","observed_on","observed_time","taxon.id","taxon.name","taxon.rank","quality_grade","user.id","user.login","user.observations_count","user.identifications_count","user.created_at","location.lat","location.lon","mappable","place.id"
1,1,"149984248","2018-02-27","2018-02-27T11:58:00-05:00","222915","Lecanora oreinoides","species","needs_id","809273","giffbeaton","12041","3706","2018-03-25T12:51:50+00:00","33.2443012699","-85.1480606127","TRUE","1 23 1083 9853 51894 59613 61551 64423 66741 81418 82256 82257 90754 96685 97394 108798 129238 132629 141727 188374"
1,1,"149982638","2018-05-31","2018-05-31T17:14:00-04:00","61881","Habronattus","genus","needs_id","809273","giffbeaton","12041","3706","2018-03-25T12:51:50+00:00","32.29537","-82.19834","TRUE","1 23 2877 9853 51894 59613 66741 81418 82256 82257 90754 96685 97394 108798 111363 129085 129238 145356"
1,1,"149982637","2018-02-27","2018-02-27T11:27:00-05:00","81839","Platycryptus undatus","species","needs_id","809273","giffbeaton","12041","3706","2018-03-25T12:51:50+00:00","33.2442811143","-85.1483187402","TRUE","1 23 1083 9853 51894 59613 61551 64423 66741 81418 82256 82257 90754 96685 97394 108798 129238 132629 141727 188374"
1,1,"149982571","2018-04-29","2018-04-29T12:48:20-04:00","126368","Ranunculus hispidus","species","needs_id","703773","lincolndurey","13348","101543","2017-11-12T01:30:40+00:00","34.7372805833","-83.9332171667","TRUE","1 23 2529 9853 50853 51894 57106 59613 61551 64423 66741 81418 82256 82257 90754 95097 96685 97394 111970 121080 121699 124094 124637 127683 127684 128746 135019 154626 159642 188058"
1,1,"149982290","2018-04-29","2018-04-29T12:51:32-04:00","127680","Cardamine angustata","species","needs_id","703773","lincolndurey","13348","101543","2017-11-12T01:30:40+00:00","34.7376851389","-83.9337009722","TRUE","1 23 2529 9853 50853 51894 57106 59613 61551 64423 66741 81418 82256 82257 90754 95097 96685 97394 111970 121080 121699 124094 124637 127683 127684 128746 135019 154626 159642 188058"
1,1,"149982106","2018-04-29","2018-04-29T12:53:20-04:00","127326","Carex pensylvanica","species","research","703773","lincolndurey","13348","101543","2017-11-12T01:30:40+00:00","34.7376393333","-83.9332644722","TRUE","1 23 2529 9853 50853 51894 57106 59613 61551 64423 66741 81418 82256 82257 90754 95097 96685 97394 111970 121080 121699 124094 124637 127683 127684 128746 135019 154626 159642 188058"
1,1,"149981565","2018-04-29","2018-04-29T12:55:42-04:00","216017","Canthon viridis","species","needs_id","703773","lincolndurey","13348","101543","2017-11-12T01:30:40+00:00","34.7377751111","-83.9335368056","TRUE","1 23 2529 9853 50853 51894 57106 59613 61551 64423 66741 81418 82256 82257 90754 95097 96685 97394 111970 121080 121699 124094 124637 127683 127684 128746 135019 154626 159642 188058"
1,1,"149980619","2018-04-29","2018-04-29T13:00:14-04:00","83059","Rhododendron maximum","species","needs_id","703773","lincolndurey","13348","101543","2017-11-12T01:30:40+00:00","34.7374172537","-83.9340250567","TRUE","1 23 2529 9853 50853 51894 57106 59613 61551 64423 66741 81418 82256 82257 90754 95097 96685 97394 111970 121080 121699 124094 124637 127683 127684 128746 135019 154626 159642 188058"
1,1,"149980411","2018-04-29","2018-04-29T13:04:38-04:00","116329","Packera aurea","species","needs_id","703773","lincolndurey","13348","101543","2017-11-12T01:30:40+00:00","34.7359001944","-83.9348428611","TRUE","1 23 2529 9853 50853 51894 57106 59613 61551 64423 66741 81418 82256 82257 90754 95097 96685 97394 111970 121080 121699 124094 124637 127683 127684 128746 135019 154626 159642 188058"
1,1,"149979872","2018-04-29","2018-04-29T13:06:50-04:00","72413","Tridens","genus","needs_id","703773","lincolndurey","13348","101543","2017-11-12T01:30:40+00:00","34.7353208611","-83.9356753333","TRUE","1 23 2529 9853 50853 51894 57106 59613 61551 64423 66741 81418 82256 82257 90754 95097 96685 97394 111970 121080 121699 124094 124637 127683 127684 128746 135019 154626 159642 188058"
